"player_name","avg_age_in_career","avg_player_height","avg_player_weight","college","country","draft_year","draft_round","draft_number","total_gp","avg_pts","avg_reb","avg_ast","avg_net_rating","avg_oreb_pct","avg_dreb_pct","avg_usg_pct","avg_ts_pct","avg_ast_pct","modern_draft_round"
"Tim Quarterman",22.5,198.12,86.18248,"Louisiana State","USA","Undrafted","Undrafted","Undrafted",19,1.80526315789474,0.91578947368421,0.636842105263158,-18.45,0.0265,0.1535,0.2015,0.513,0.242,"Undrafted"
"Tim Thomas",27,208.28,107.466412307692,"Villanova","USA","1997","1","7",824,11.4751213592233,4.09660194174757,1.54817961165049,-1.14615384615385,0.0456153846153846,0.139,0.213846153846154,0.538923076923077,0.0961538461538462,"Round 1"
"Tim Young",24,218.44,122.46984,"Stanford","USA","1999","2","56",25,2.2,1.4,0.2,-4.6,0.086,0.19,0.181,0.492,0.057,"Round 2"
"Timofey Mozgov",27.5,215.9,117.650425,"None","Russia","Undrafted","Undrafted","Undrafted",454,6.76497797356828,4.89603524229075,0.555066079295154,-3.675,0.104625,0.183125,0.166375,0.571125,0.04725,"Undrafted"
"Timothe Luwawu-Cabarrot",24.5,199.39,96.0103066666667,"None","France","2016","1","24",328,5.9140243902439,2.00396341463415,0.891158536585366,-3.7,0.0225,0.0976666666666667,0.1605,0.530666666666667,0.078,"Round 1"
"Tito Maddox",22,193.04,86.18248,"Fresno State","USA","2002","2","37",9,1.2,0.8,0.6,-5.3,0.031,0.162,0.237,0.354,0.217,"Round 2"
"TJ Leaf",21.5,208.28,103.19218,"UCLA","USA","2017","1","18",111,3.42252252252252,1.86576576576577,0.304504504504505,-4.05,0.0675,0.132,0.147,0.5585,0.0455,"Round 1"
"TJ Warren",22,203.2,101.302213333333,"North Carolina State","USA","2014","1","14",153,11.1856209150327,3.70130718954248,0.907843137254902,-7.13333333333333,0.063,0.0993333333333333,0.188333333333333,0.546333333333333,0.0643333333333333,"Round 1"
"Tobias Harris",24.5,204.046666666667,104.552956,"Tennessee","USA","2011","1","19",827,16.2,6.1596130592503,2.309915356711,-0.516666666666667,0.0375,0.17225,0.21675,0.563833333333333,0.11275,"Round 1"
"Toby Bailey",23.5,198.12,96.615096,"UCLA","USA","1998","2","45",73,3.27808219178082,1.74794520547945,0.626027397260274,-1.9,0.082,0.129,0.1825,0.454,0.091,"Round 2"
